performance issue,factor,tools_num
Energy Consumption,AsyncTask,1
Energy Consumption,HTTP Request,0
Energy Consumption,Wakelock,0
Energy Consumption,Database Operation,1
Energy Consumption,Obsolete Task,0
Energy Consumption,UI Rendering,0
Energy Consumption,Redundant Frames,0
Energy Consumption,Resource,2
Energy Consumption,Inefficient Method,0
Energy Consumption,Polling,0
Energy Consumption,Dynamic UI Loading,0
Energy Consumption,Image,1
Energy Consumption,View,0
Energy Consumption,Multi-Threads,0
Energy Consumption,Background Thread,0
Energy Consumption,Hashmap,0
Energy Consumption,Service,1
Energy Consumption,Loop,1
Responsiveness,Message,0
Responsiveness,Dialog,0
Responsiveness,Runnable,0
Responsiveness,Data Type,0
Responsiveness,Third-party Library,0
Responsiveness,View,0
Responsiveness,Background Thread,0
Responsiveness,Service,0
Responsiveness,UI Rendering,0
Responsiveness,Thread Pool,0
Responsiveness,Activity,1
Responsiveness,HTTP Request,0
Responsiveness,Inefficient Method,0
Responsiveness,Obsolete Task,0
Responsiveness,Object Creation,0
Responsiveness,SQL Statement,0
Responsiveness,Copy Text,0
Responsiveness,Parameter,0
Responsiveness,Syntax,0
Responsiveness,Constructor,0
Responsiveness,AsyncTask,2
Responsiveness,Cache,0
Responsiveness,File Operation,0
Responsiveness,Main Thread,0
Responsiveness,Timer,0
Responsiveness,Singleton,0
Responsiveness,Loop,1
Responsiveness,Database Operation,1
Responsiveness,Resource,0
Responsiveness,Dynamic UI Loading,0
Responsiveness,Image,1
Responsiveness,Cookies,0
Memory Consumption,Message,0
Memory Consumption,Runnable,0
Memory Consumption,Heap Size,0
Memory Consumption,Data Type,0
Memory Consumption,Third-party Library,0
Memory Consumption,View,0
Memory Consumption,Override,0
Memory Consumption,Background Thread,0
Memory Consumption,Service,1
Memory Consumption,Fragment,0
Memory Consumption,UI Rendering,0
Memory Consumption,Activity,1
Memory Consumption,Inefficient Method,0
Memory Consumption,Obsolete Task,0
Memory Consumption,Object Creation,0
Memory Consumption,Parameter,0
Memory Consumption,Syntax,0
Memory Consumption,Constructor,0
Memory Consumption,AsyncTask,1
Memory Consumption,File Operation,0
Memory Consumption,Main Thread,0
Memory Consumption,Timer,0
Memory Consumption,Singleton,0
Memory Consumption,Loop,0
Memory Consumption,Database Operation,0
Memory Consumption,Resource,1
Memory Consumption,Dynamic UI Loading,0
Memory Consumption,Image,1
Memory Consumption,Hashmap,0
Data Loss,AsyncTask,1
Data Loss,Activity,5
Data Loss,Inefficient Method,0
Data Loss,File Operation,0
Data Loss,Resource,1
Data Loss,Parameter,0
Data Loss,Service,0
Data Loss,Fragment,0
Distorted UI Display,Activity,1
Distorted UI Display,View,0
